ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
201718,SA1E00200B,SCUOLA PRIMARIA,2,21,21,0,0,0
201718,MCTDMA500C,SCUOLA SECONDARIA II GRADO,5,30,30,0,0,0
201718,VE1E013006,SCUOLA PRIMARIA,4,18,18,0,0,0
201718,RM1E119006,SCUOLA PRIMARIA,5,24,24,0,0,0
201718,VA1E004001,SCUOLA PRIMARIA,1,23,23,0,0,0
201718,RMPS265002,SCUOLA SECONDARIA II GRADO,2,22,22,0,0,0
201718,CE1E02700B,SCUOLA PRIMARIA,4,27,26,1,0,1
201718,RC1M00300T,SCUOLA SECONDARIA I GRADO,1,14,12,2,0,2
201718,BO1MZN5006,SCUOLA SECONDARIA I GRADO,3,22,19,3,2,1
201718,TOPS125006,SCUOLA SECONDARIA II GRADO,2,4,4,0,0,0
201718,BN1E002002,SCUOLA PRIMARIA,5,16,16,0,0,0
201718,MNPL02500L,SCUOLA SECONDARIA II GRADO,1,13,13,0,0,0
201718,PAPM25500A,SCUOLA SECONDARIA II GRADO,1,4,2,2,1,1
201718,VE1M001005,SCUOLA SECONDARIA I GRADO,1,13,13,0,0,0
201718,RMPLOA500A,SCUOLA SECONDARIA II GRADO,4,1,1,0,0,0
201718,MI1E137007,SCUOLA PRIMARIA,4,3,3,0,0,0
201718,CZSL00500G,SCUOLA SECONDARIA II GRADO,5,4,4,0,0,0
201718,TO1M054009,SCUOLA SECONDARIA I GRADO,3,57,55,2,1,1
201718,RM1E20700R,SCUOLA PRIMARIA,1,11,9,2,0,2
201718,SATF02500B,SCUOLA SECONDARIA II GRADO,4,8,8,0,0,0
201718,LE1E005002,SCUOLA PRIMARIA,2,25,25,0,0,0
201718,MI1E03500P,SCUOLA PRIMARIA,2,35,34,1,0,1
201718,NA1E04000Q,SCUOLA PRIMARIA,4,22,21,1,0,1
201718,MI1E05700G,SCUOLA PRIMARIA,4,41,41,0,0,0
201718,VRPSN9500T,SCUOLA SECONDARIA II GRADO,1,25,25,0,0,0
201718,MIPS175007,SCUOLA SECONDARIA II GRADO,1,96,93,3,0,3
201718,NAPMSV500U,SCUOLA SECONDARIA II GRADO,3,7,7,0,0,0
201718,NA1E214001,SCUOLA PRIMARIA,1,12,6,6,0,6
201718,BS1E00100D,SCUOLA PRIMARIA,1,24,23,1,0,1
201718,TOPL03500P,SCUOLA SECONDARIA II GRADO,4,33,31,2,1,1
201718,GE1M007002,SCUOLA SECONDARIA I GRADO,2,23,22,1,0,1
201718,PVTBDH500G,SCUOLA SECONDARIA II GRADO,4,7,7,0,0,0
201718,TVPL07500D,SCUOLA SECONDARIA II GRADO,2,4,4,0,0,0
201718,BSPC01500D,SCUOLA SECONDARIA II GRADO,5,10,10,0,0,0
201718,NA1E05300T,SCUOLA PRIMARIA,4,26,25,1,0,1
201718,VAPL095008,SCUOLA SECONDARIA II GRADO,5,16,16,0,0,0
201718,RMTD78500B,SCUOLA SECONDARIA II GRADO,3,1,1,0,0,0
