ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
201920,VA1MAR500M,SCUOLA SECONDARIA I GRADO,2,3,31,18
201920,RM1E113007,SCUOLA PRIMARIA,2,1,5,7
201920,NATDE85003,SCUOLA SECONDARIA II GRADO,2,1,6,13
201920,RM1E14500P,SCUOLA PRIMARIA,3,1,4,7
201920,SATF4V500G,SCUOLA SECONDARIA II GRADO,5,2,58,7
201920,RMPM045004,SCUOLA SECONDARIA II GRADO,3,2,3,3
201920,COSL2O500G,SCUOLA SECONDARIA II GRADO,3,1,0,9
201920,NATF215004,SCUOLA SECONDARIA II GRADO,2,1,5,1
201920,BS1M01600C,SCUOLA SECONDARIA I GRADO,2,2,18,20
201920,BGPC02500G,SCUOLA SECONDARIA II GRADO,3,1,8,10
201920,SAPSL4500R,SCUOLA SECONDARIA II GRADO,1,1,10,3
201920,NA1E100006,SCUOLA PRIMARIA,3,2,14,13
201920,VE1E01000P,SCUOLA PRIMARIA,5,1,16,11
201920,RMPC10500A,SCUOLA SECONDARIA II GRADO,1,1,13,13
201920,NO1E001004,SCUOLA PRIMARIA,5,1,8,5
201920,MB1E09100X,SCUOLA PRIMARIA,3,1,11,13
201920,TS1E001006,SCUOLA PRIMARIA,3,1,7,7
201920,GE1E039008,SCUOLA PRIMARIA,5,2,28,17
201920,PA1E04100C,SCUOLA PRIMARIA,5,1,11,12
201920,CT1M020004,SCUOLA SECONDARIA I GRADO,2,1,20,9
201920,RM1E14600E,SCUOLA PRIMARIA,1,1,16,9
201920,TO1M041007,SCUOLA SECONDARIA I GRADO,2,2,17,12
201920,RMPMIO5006,SCUOLA SECONDARIA II GRADO,4,1,0,2
201920,CO1E00800E,SCUOLA PRIMARIA,3,2,18,17
201920,TOPC075007,SCUOLA SECONDARIA II GRADO,5,1,7,13
201920,RMPS095004,SCUOLA SECONDARIA II GRADO,5,1,23,6
201920,BR1E001002,SCUOLA PRIMARIA,5,1,14,5
201920,CE1E03400E,SCUOLA PRIMARIA,1,1,10,14
201920,RM1M06900G,SCUOLA SECONDARIA I GRADO,3,1,16,18
201920,RG1E004008,SCUOLA PRIMARIA,3,1,8,6
201920,NAPMTL5004,SCUOLA SECONDARIA II GRADO,2,1,2,13
201920,NAPS39500Q,SCUOLA SECONDARIA II GRADO,3,1,3,1
201920,NATDBQ500Q,SCUOLA SECONDARIA II GRADO,1,1,7,0
201920,RMPC44500B,SCUOLA SECONDARIA II GRADO,3,1,14,7
201920,MI1M08000T,SCUOLA SECONDARIA I GRADO,3,5,70,56
201920,BSTL01500V,SCUOLA SECONDARIA II GRADO,2,1,2,0
201920,NA1E241009,SCUOLA PRIMARIA,3,1,9,6
201920,BS1E016007,SCUOLA PRIMARIA,4,1,10,9
201920,MCPM00500L,SCUOLA SECONDARIA II GRADO,4,1,3,14
201920,RCPL02500D,SCUOLA SECONDARIA II GRADO,5,1,5,3
201920,NA1E134009,SCUOLA PRIMARIA,1,1,4,6
201920,PV1E00500L,SCUOLA PRIMARIA,4,2,20,14
201920,CS1E002006,SCUOLA PRIMARIA,2,1,10,5
201920,MI1E12100N,SCUOLA PRIMARIA,1,2,0,23
