ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
201516,PD1E019003,SCUOLA PRIMARIA,4,52,52,0,0,0
201516,GE1E020007,SCUOLA PRIMARIA,1,19,19,0,0,0
201516,GE1E01400X,SCUOLA PRIMARIA,2,19,19,0,0,0
201516,CT1E02300A,SCUOLA PRIMARIA,5,14,13,1,1,0
201516,FI1E01600P,SCUOLA PRIMARIA,5,10,10,0,0,0
201516,VT1E002002,SCUOLA PRIMARIA,5,24,24,0,0,0
201516,VAPM06500P,SCUOLA SECONDARIA II GRADO,5,15,15,0,0,0
201516,BL1E00200B,SCUOLA PRIMARIA,1,43,41,2,1,1
201516,RMTD50500R,SCUOLA SECONDARIA II GRADO,1,5,3,2,2,0
201516,BGPSRR5006,SCUOLA SECONDARIA II GRADO,2,24,24,0,0,0
201516,VR1M02200T,SCUOLA SECONDARIA I GRADO,2,29,29,0,0,0
201516,CORA025003,SCUOLA SECONDARIA II GRADO,3,25,25,0,0,0
201516,GRPS005002,SCUOLA SECONDARIA II GRADO,3,9,9,0,0,0
201516,TVTF015005,SCUOLA SECONDARIA II GRADO,4,14,14,0,0,0
201516,METL025008,SCUOLA SECONDARIA II GRADO,3,10,10,0,0,0
201516,TO1E00700E,SCUOLA PRIMARIA,4,70,70,0,0,0
201516,NAPLZL5002,SCUOLA SECONDARIA II GRADO,3,1,1,0,0,0
201516,BORI03500C,SCUOLA SECONDARIA II GRADO,2,27,26,1,1,0
201516,TOPC10500T,SCUOLA SECONDARIA II GRADO,1,12,12,0,0,0
201516,RMPS455005,SCUOLA SECONDARIA II GRADO,3,27,26,1,0,1
201516,IM1M00500T,SCUOLA SECONDARIA I GRADO,3,19,19,0,0,0
201516,NA1E030005,SCUOLA PRIMARIA,5,14,13,1,1,0
201516,BA1E01500T,SCUOLA PRIMARIA,5,16,16,0,0,0
201516,VAPSQ4500H,SCUOLA SECONDARIA II GRADO,3,25,25,0,0,0
201516,MI1E06000B,SCUOLA PRIMARIA,5,57,52,5,0,5
201516,SVPS015002,SCUOLA SECONDARIA II GRADO,1,16,13,3,1,2
201516,MO1E00600X,SCUOLA PRIMARIA,1,9,7,2,1,1
201516,VI1E001007,SCUOLA PRIMARIA,1,43,40,3,0,3
201516,BSPLMR500P,SCUOLA SECONDARIA II GRADO,4,35,35,0,0,0
201516,TR1E00100P,SCUOLA PRIMARIA,4,20,20,0,0,0
201516,RMTD50500R,SCUOLA SECONDARIA II GRADO,4,2,2,0,0,0
201516,MI1E03000G,SCUOLA PRIMARIA,4,27,27,0,0,0
201516,AP1E00300G,SCUOLA PRIMARIA,4,23,23,0,0,0
201516,RM1E12500D,SCUOLA PRIMARIA,5,32,31,1,0,1
201516,MO1M001002,SCUOLA SECONDARIA I GRADO,3,23,23,0,0,0
201516,RM1M08900R,SCUOLA SECONDARIA I GRADO,1,20,19,1,1,0
201516,FG1E01200P,SCUOLA PRIMARIA,3,23,23,0,0,0
201516,CZSL00500G,SCUOLA SECONDARIA II GRADO,3,3,3,0,0,0
201516,RMPL355003,SCUOLA SECONDARIA II GRADO,4,16,16,0,0,0
201516,ME1E00300X,SCUOLA PRIMARIA,5,18,18,0,0,0
201516,BG1M015004,SCUOLA SECONDARIA I GRADO,2,64,63,1,0,1
201516,RG1E005004,SCUOLA PRIMARIA,2,11,11,0,0,0
201516,AVPM03500Q,SCUOLA SECONDARIA II GRADO,2,13,12,1,0,1
201516,CTPC01500D,SCUOLA SECONDARIA II GRADO,4,32,32,0,0,0
201516,CE1E06900D,SCUOLA PRIMARIA,2,4,4,0,0,0
201516,VI1E01300D,SCUOLA PRIMARIA,3,31,29,2,0,2
201516,RM1E01700N,SCUOLA PRIMARIA,3,18,13,5,1,4
201516,CTPS125004,SCUOLA SECONDARIA II GRADO,3,8,8,0,0,0
201516,BN1ES9500O,SCUOLA PRIMARIA,2,14,13,1,0,1
201516,MI1E025004,SCUOLA PRIMARIA,2,40,40,0,0,0
201516,BLPMMN5000,SCUOLA SECONDARIA II GRADO,1,5,4,1,1,0
201516,UDPS01500B,SCUOLA SECONDARIA II GRADO,3,8,8,0,0,0
201516,VRPC025006,SCUOLA SECONDARIA II GRADO,1,6,6,0,0,0
201516,MI1E13000C,SCUOLA PRIMARIA,1,39,38,1,1,0
201516,VA1M01400R,SCUOLA SECONDARIA I GRADO,3,37,37,0,0,0
201516,CETFIH500U,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
201516,FIPSCR500M,SCUOLA SECONDARIA II GRADO,2,2,2,0,0,0
201516,AVPCZU5001,SCUOLA SECONDARIA II GRADO,4,7,7,0,0,0
201516,FIPS00500D,SCUOLA SECONDARIA II GRADO,3,16,16,0,0,0
201516,RN1E00900L,SCUOLA PRIMARIA,3,17,16,1,1,0
201516,MISL025006,SCUOLA SECONDARIA II GRADO,2,60,60,0,0,0
201516,VRPS09500G,SCUOLA SECONDARIA II GRADO,2,22,22,0,0,0
201516,BGPS095001,SCUOLA SECONDARIA II GRADO,5,47,44,3,1,2
201516,MI1E046005,SCUOLA PRIMARIA,5,84,83,1,0,1
201516,VA1M01500L,SCUOLA SECONDARIA I GRADO,3,20,20,0,0,0
201516,COTAV75005,SCUOLA SECONDARIA II GRADO,4,21,21,0,0,0
201516,PATF00500L,SCUOLA SECONDARIA II GRADO,3,13,13,0,0,0
201516,BO1E00300E,SCUOLA PRIMARIA,3,22,22,0,0,0
201516,CTTL055009,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
201516,MI1E05500X,SCUOLA PRIMARIA,1,68,63,5,0,5
